Job Title_x,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,externalApplyLink,url,JobID,Job Description	,All,Job Title_y,KNN,TF-IDF,CV,Final
System Administrator,Optimize enterprise software using Java and HTML for KMS Technology's databases to enhance user experience.,"Python, CSS, HTML, Java",24M VND/month - 37M VND/month,Ho Chi Minh City,KMS Technology,Entry-Level,Mobile Development,Full-Time,28/2/2019,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,535,535,"System Administrator,Optimize enterprise software using Java and HTML for KMS Technology's databases to enhance user experience.,Python, CSS, HTML, Java,24M VND/month - 37M VND/month,Ho Chi Minh City,KMS Technology,Entry-Level,Mobile Development,Full-Time,28/2/2019,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,535,535",System Administrator,0.1794639000726841,0.1794639000726841,0.2220115882488131,0.5809393883941812
Java Developer,Design financial services using CSS and HTML for Grab Vietnam's machine learning models to enhance user experience.,"JSP, HTML, Servlet, CSS",60M VND/month - 74M VND/month,Remote,Grab Vietnam,Senior-Level,Data Science,Part-Time,15/4/2019,https://www.grab.com/vn/careers/,https://www.vietnamworks.com/viec-lam/java-developer-grab-vietnam-3307604,906,906,"Java Developer,Design financial services using CSS and HTML for Grab Vietnam's machine learning models to enhance user experience.,JSP, HTML, Servlet, CSS,60M VND/month - 74M VND/month,Remote,Grab Vietnam,Senior-Level,Data Science,Part-Time,15/4/2019,https://www.grab.com/vn/careers/,https://www.vietnamworks.com/viec-lam/java-developer-grab-vietnam-3307604,906,906",Java Developer,0.09478273428129154,0.09478273428129154,0.014507597226479874,0.20407306578906295
System Administrator,Enhance AI-driven tools using MySQL and HTML for KMS Technology's front-end frameworks to enhance user experience.,"HTML, MySQL",27M VND/month - 37M VND/month,Da Nang,KMS Technology,Mid-Level,Mobile Development,Remote,16/2/2019,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/system-administrator-kms-technology-6102,932,932,"System Administrator,Enhance AI-driven tools using MySQL and HTML for KMS Technology's front-end frameworks to enhance user experience.,HTML, MySQL,27M VND/month - 37M VND/month,Da Nang,KMS Technology,Mid-Level,Mobile Development,Remote,16/2/2019,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/system-administrator-kms-technology-6102,932,932",System Administrator,0.0777803857174361,0.07778038571743595,0.007874281160436128,0.1634350525953082
System Administrator,Design backend systems using JSP and MySQL for KMS Technology's cloud infrastructure to enhance user experience.,"SQL, JSP, HTML, MySQL",61M VND/month - 72M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Mobile Development,Full-Time,25/11/2019,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/system-administrator-kms-technology-tai-ho-chi-minh-1339208,1108,1108,"System Administrator,Design backend systems using JSP and MySQL for KMS Technology's cloud infrastructure to enhance user experience.,SQL, JSP, HTML, MySQL,61M VND/month - 72M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Mobile Development,Full-Time,25/11/2019,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/system-administrator-kms-technology-tai-ho-chi-minh-1339208,1108,1108",System Administrator,0.011597075007325467,0.011597075007325467,0.004176733803365806,0.02737088381801674
Java Developer,Maintain microservices architecture using MySQL and HTML for KMS Technology's machine learning models to enhance user experience.,"MySQL, HTML, Spring, Java",37M VND/month - 42M VND/month,Da Nang,KMS Technology,Mid-Level,Cybersecurity,Full-Time,16/2/2019,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,1249,1249,"Java Developer,Maintain microservices architecture using MySQL and HTML for KMS Technology's machine learning models to enhance user experience.,MySQL, HTML, Spring, Java,37M VND/month - 42M VND/month,Da Nang,KMS Technology,Mid-Level,Cybersecurity,Full-Time,16/2/2019,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,1249,1249",Java Developer,0.295463521401933,0.29546352140193327,0.13979067482125837,0.7307177176251246
Backend Developer,Implement enterprise software using PostgreSQL and Node.js for KMS Technology's machine learning models to enable real-time processing.,"PostgreSQL, Hibernate, Node.js",51M VND/month - 58M VND/month,Remote,KMS Technology,Senior-Level,Data Science,Full-Time,6/4/2020,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/senior-web-developer-tai-da-nang-1609876-en,3269,3269,"Backend Developer,Implement enterprise software using PostgreSQL and Node.js for KMS Technology's machine learning models to enable real-time processing.,PostgreSQL, Hibernate, Node.js,51M VND/month - 58M VND/month,Remote,KMS Technology,Senior-Level,Data Science,Full-Time,6/4/2020,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/senior-web-developer-tai-da-nang-1609876-en,3269,3269",Backend Developer,0.0,0.0,0.0,0.0
Data Scientist,Design cloud-based solutions using Spring Boot and Hibernate for KMS Technology's data pipelines to enhance user experience.,"React, Spring Boot, Hibernate, PostgreSQL",24M VND/month - 31M VND/month,Da Nang,KMS Technology,Entry-Level,Web Development,Full-Time,14/2/2020,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/java-developer-axon-active-vietnam-tai-da-nang-2043762,4689,4689,"Data Scientist,Design cloud-based solutions using Spring Boot and Hibernate for KMS Technology's data pipelines to enhance user experience.,React, Spring Boot, Hibernate, PostgreSQL,24M VND/month - 31M VND/month,Da Nang,KMS Technology,Entry-Level,Web Development,Full-Time,14/2/2020,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/java-developer-axon-active-vietnam-tai-da-nang-2043762,4689,4689",Data Scientist,0.019470642404083804,0.019470642404083954,0.014488926055332918,0.05343021086350068
Web App Engineer,Develop web applications using Python and Spring Boot for TMA Solutions's machine learning models to enhance user experience.,"Spring Boot, Python",35M VND/month - 40M VND/month,Ho Chi Minh City,TMA Solutions,Mid-Level,Data Science,Full-Time,18/3/2021,https://www.tmasolutions.com/careers/,https://topdev.vn/viec-lam/ai-engineer-vinai-tai-ho-chi-minh-2043541,5807,5807,"Web App Engineer,Develop web applications using Python and Spring Boot for TMA Solutions's machine learning models to enhance user experience.,Spring Boot, Python,35M VND/month - 40M VND/month,Ho Chi Minh City,TMA Solutions,Mid-Level,Data Science,Full-Time,18/3/2021,https://www.tmasolutions.com/careers/,https://topdev.vn/viec-lam/ai-engineer-vinai-tai-ho-chi-minh-2043541,5807,5807",Web App Engineer,0.03834071164873798,0.03834071164873768,0.014803867053665579,0.09148529035114124
Data Scientist,Lead cloud-based solutions using Angular and SQL for KMS Technology's front-end frameworks to support business growth.,"Angular, Python, SQL, Spring Boot",23M VND/month - 36M VND/month,Ho Chi Minh City,KMS Technology,Entry-Level,Data Science,Full-Time,24/11/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/data-scientist-kms-technology-tai-ha-noi-8940206,6322,6322,"Data Scientist,Lead cloud-based solutions using Angular and SQL for KMS Technology's front-end frameworks to support business growth.,Angular, Python, SQL, Spring Boot,23M VND/month - 36M VND/month,Ho Chi Minh City,KMS Technology,Entry-Level,Data Science,Full-Time,24/11/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/data-scientist-kms-technology-tai-ha-noi-8940206,6322,6322",Data Scientist,0.019903286426760758,0.01990328642676061,0.02448003834836558,0.06428661120188695
DevOps Engineer,Design real-time data platforms using Java and Golang for Axon Active's machine learning models to enhance user experience.,"Docker, Golang, Java",58M VND/month - 69M VND/month,Remote,Axon Active,Senior-Level,Cybersecurity,Part-Time,7/8/2021,https://www.axonactive.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,6361,6361,"DevOps Engineer,Design real-time data platforms using Java and Golang for Axon Active's machine learning models to enhance user experience.,Docker, Golang, Java,58M VND/month - 69M VND/month,Remote,Axon Active,Senior-Level,Cybersecurity,Part-Time,7/8/2021,https://www.axonactive.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,6361,6361",DevOps Engineer,0.0004919892829473582,0.0004919892829473582,0.11827077615223747,0.11925475471813218
